SampleID,sampleType,MouseID,MouseSex,Diet,Date,Time,Vendor,ExperimentID,ExperimentDay,StoolCollected,Sacrificed,BaseWeight,DayWeight,PercChange,Temperature,,,,,,,,,
CDD02.Tc.LFLF.3.00,stool,,Female,LFLF,3/5/24,11:00,Taconic,CDD02,0,T,F,,,,,,,,,,,,,
CDD02.Tc.LFLF.4.00,stool,,Female,LFLF,3/5/24,11:00,Taconic,CDD02,0,T,F,,,,,,,,,,,,,
CDD02.Tc.LFLF.5.00,stool,,Female,LFLF,3/5/24,11:00,Taconic,CDD02,0,T,F,,,,,,,,,,,,,
CDD02.Tc.HFLF.1.00,stool,,Female,HFLF,3/5/24,11:00,Taconic,CDD02,0,T,F,,,,,,,,,,,,,
CDD02.Tc.HFLF.2.00,stool,,Female,HFLF,3/5/24,11:00,Taconic,CDD02,0,T,F,,,,,,,,,,,,,
CDD02.Tc.HFLF.3.00,stool,,Female,HFLF,3/5/24,11:00,Taconic,CDD02,0,T,F,,,,,,,,,,,,,
CDD02.Tc.HFLF.4.00,stool,,Female,HFLF,3/5/24,11:00,Taconic,CDD02,0,T,F,,,,,,,,,,,,,
CDD02.Tc.HFLF.5.00,stool,,Female,HFLF,3/5/24,11:00,Taconic,CDD02,0,T,F,,,,,,,,,,,,,
CDD02.Tc.HFHF.1.00,stool,,Female,HFHF,3/5/24,11:00,Taconic,CDD02,0,T,F,,,,,,,,,,,,,
CDD02.Tc.HFHF.2.00,stool,,Female,HFHF,3/5/24,11:00,Taconic,CDD02,0,T,F,,,,,,,,,,,,,
CDD02.Tc.HFHF.3.00,stool,,Female,HFHF,3/5/24,11:00,Taconic,CDD02,0,T,F,,,,,,,,,,,,,
CDD02.Tc.HFHF.4.00,stool,,Female,HFHF,3/5/24,11:00,Taconic,CDD02,0,T,F,,,,,,,,,,,,,
CDD02.Tc.HFHF.5.00,stool,,Female,HFHF,3/5/24,11:00,Taconic,CDD02,0,T,F,,,,,,,,,,,,,
CDD02.Tc.LFHF.1.00,stool,,Female,LFHF,3/5/24,11:00,Taconic,CDD02,0,T,F,,,,,,,,,,,,,
CDD02.Tc.LFHF.2.00,stool,,Female,LFHF,3/5/24,11:00,Taconic,CDD02,0,T,F,,,,,,,,,,,,,
CDD02.Tc.LFHF.3.00,stool,,Female,LFHF,3/5/24,11:00,Taconic,CDD02,0,F,F,,,,,,,,,,,,,
CDD02.Tc.LFHF.4.00,stool,,Female,LFHF,3/5/24,11:00,Taconic,CDD02,0,T,F,,,,,,,,,,,,,
CDD02.Tc.LFHF.5.00,stool,,Female,LFHF,3/5/24,11:00,Taconic,CDD02,0,T,F,,,,,,,,,,,,,
CDD02.CR.Chow.1.00,stool,,Female,Chow,3/5/24,11:00,CharlesRiver,CDD02,0,T,F,,,,,,,,,,,,,
CDD02.CR.Chow.2.00,stool,,Female,Chow,3/5/24,11:00,CharlesRiver,CDD02,0,T,F,,,,,,,,,,,,,
