diet	sampleid	day_post_inf	sample_type	mouse_id	high_fat	high_fiber	purified_diet	seq_depth	facility	study
Chow	62.9963.0704	-8	colon	9963	0	0	0	33693	barrier_2	6
Chow	63.9963.0709	-3	colon	9963	0	0	0	35517	barrier_2	6
Chow	64.9963.0712	0	colon	9963	0	0	0	38994	barrier_2	6
Chow	61.9964.0627	-15	colon	9964	0	0	0	19244	barrier_2	6
Chow	62.9964.0704	-8	colon	9964	0	0	0	34739	barrier_2	6
Chow	63.9964.0709	-3	colon	9964	0	0	0	42957	barrier_2	6
Chow	64.9964.0712	0	colon	9964	0	0	0	39179	barrier_2	6
Chow	61.9965.0627	-15	colon	9965	0	0	0	35385	barrier_2	6
Chow	62.9965.0704	-8	colon	9965	0	0	0	33600	barrier_2	6
Chow	63.9965.0709	-3	colon	9965	0	0	0	39090	barrier_2	6
Chow	64.9965.0712	0	colon	9965	0	0	0	33855	barrier_2	6
LF/LF	61.9966.0627	-15	colon	9966	0	0	0	44681	barrier_2	6
LF/LF	62.9966.0704	-8	colon	9966	0	0	1	26523	barrier_2	6
LF/LF	63.9966.0709	-3	colon	9966	0	0	1	1980	barrier_2	6
LF/LF	64.9966.0712	0	colon	9966	0	0	1	2143	barrier_2	6
LF/LF	61.9967.0627	-15	colon	9967	0	0	0	29690	barrier_2	6
LF/LF	62.9967.0704	-8	colon	9967	0	0	1	34323	barrier_2	6
LF/LF	63.9967.0709	-3	colon	9967	0	0	1	24585	barrier_2	6
LF/LF	64.9967.0712	0	colon	9967	0	0	1	27508	barrier_2	6
LF/LF	61.9968.0627	-15	colon	9968	0	0	0	41839	barrier_2	6
LF/LF	62.9968.0704	-8	colon	9968	0	0	1	45033	barrier_2	6
LF/LF	63.9968.0709	-3	colon	9968	0	0	1	23530	barrier_2	6
LF/LF	64.9968.0712	0	colon	9968	0	0	1	38204	barrier_2	6
LF/LF	61.9969.0627	-15	colon	9969	0	0	0	34281	barrier_2	6
LF/LF	62.9969.0704	-8	colon	9969	0	0	1	43865	barrier_2	6
LF/LF	63.9969.0709	-3	colon	9969	0	0	1	7569	barrier_2	6
LF/LF	64.9969.0712	0	colon	9969	0	0	1	26039	barrier_2	6
LF/LF	61.9970.0627	-15	colon	9970	0	0	0	35746	barrier_2	6
LF/LF	62.9970.0704	-8	colon	9970	0	0	1	45004	barrier_2	6
LF/LF	63.9970.0709	-3	colon	9970	0	0	1	298	barrier_2	6
LF/LF	64.9970.0712	0	colon	9970	0	0	1	2465	barrier_2	6
HF/LF	61.9971.0627	-15	colon	9971	0	0	0	28707	barrier_2	6
HF/LF	63.9971.0709	-3	colon	9971	1	0	1	2595	barrier_2	6
HF/LF	64.9971.0712	0	colon	9971	1	0	1	18289	barrier_2	6
HF/LF	61.9972.0627	-15	colon	9972	0	0	0	43798	barrier_2	6
