sample	ko	taxon	taxon_abun	taxon_rel_abun	genome_function_count	taxon_function_abun	taxon_rel_function_abun	norm_taxon_function_contrib
1_0403_9687	K00929	d357b6e47248af689125119c1e487510	57	0.07159811001087285	1	57	0.07159811001087285	0.00350144357761533
1_0403_9687	K00929	dd3d4fd4175f331d52749145db650b2c	85	0.10676911141972267	1	85	0.10676911141972267	0.00522145094907549
1_0403_9687	K00929	ddc9ed97bbbc1b98ce504bd560b01e88	26	0.03265878702250341	2	52	0.06531757404500682	0.0031942994041403
1_0403_9687	K00929	e1d0794790521a5fa5fd22f9628cb981	506	0.6355902397456432	1	506	0.6355902397456432	0.03108299035567295
1_0403_9687	K00929	e2bebd0eb850939e3ab5c3627bc5f261	274	0.344173370929459	1	274	0.344173370929459	0.0168315007064316
1_0403_9687	K00929	eccd7820f3e00427b8e5e20683b29262	8.5	0.01067691114197226	1	8.5	0.01067691114197226	5.2214509490754e-4
1_0403_9687	K00929	efe6d368dc9bc431d6aaaf795ab9df54	151	0.1896721861691544	1	151	0.1896721861691544	0.00927575403894588
1_0403_9687	K00929	f5db17dce08a55088ceecbd2ac34df49	28	0.03517100140884982	1	28	0.03517100140884982	0.00172000737146016
1_0403_9687	K00929	fd203e2f7d89f10e908a686f50ec9b37	126	0.1582695063398242	1	126	0.1582695063398242	0.00774003317157073
1_0403_9687	K00929	fe061b4d7bf9b15021415e593d330c30	40	0.05024428772692832	1	40	0.05024428772692832	0.00245715338780023
1_0403_9687	K00929	fe4c45af45a1ced6777398479ca5025b	2398	3.0121450492293524	1	2398	3.0121450492293524	0.147306345598624
1_0403_9687	K01034	0203f969920901394b0b659701c31957	15	0.01884160789759812	1	15	0.01884160789759812	0.00466708151835718
1_0403_9687	K01034	042a8615f4bfc7834b3b46c714aa48a3	194	0.24368479547560237	1	194	0.24368479547560237	0.06036092097075295
1_0403_9687	K01034	0c7d1f89bd81138294da46f001b6710a	45	0.05652482369279436	1	45	0.05652482369279436	0.01400124455507156
1_0403_9687	K01034	0ec2e0ccb96997982b7f8741fd743219	19	0.02386603667029095	1	19	0.02386603667029095	0.0059116365899191
1_0403_9687	K01034	2be93cb6fdbb7cb2f7c4e7e5c48c91b1	219	0.27508747530493255	1	219	0.27508747530493255	0.06813939016801493
1_0403_9687	K01034	539f049bd3eae43fe41be294bfa6b8b5	510	0.64061466851833615	1	510	0.64061466851833615	0.15868077162414437
1_0403_9687	K01034	60d38a56c64b47899fa21068df22d7b2	49	0.06154925246548719	1	49	0.06154925246548719	0.01524579962663347
1_0403_9687	K01034	6e44ead3f2ba90c2d92aa0865aa62d2c	236	0.2964412975888771	2	472	0.5928825951777542	0.14685749844430615
1_0403_9687	K01034	7044780b55e75992e1baa09eb8412297	81	0.10174468264702984	1	81	0.10174468264702984	0.02520224019912881
1_0403_9687	K01034	747f2349a5e05816a56c75007ae79e3e	157	0.19720882932819364	1	157	0.19720882932819364	0.04884878655880523
1_0403_9687	K01034	7c324c9774c3c0884d1e7487b1427a49	162	0.2034893652940597	1	162	0.2034893652940597	0.05040448039825762
1_0403_9687	K01034	8178240d6c79b498c48045a79a70ff86	23	0.02889046544298378	1	23	0.02889046544298378	0.00715619166148102
1_0403_9687	K01034	837db9efa7c388ac65d7c49853d8335d	227	0.2851363328503182	1	227	0.2851363328503182	0.07062850031113876
1_0403_9687	K01034	87567232ee82aec2ef9b3a4829303e45	89	0.11179354019241552	1	89	0.11179354019241552	0.02769135034225264
1_0403_9687	K01034	947c41b884a84f94db71834935b84761	60	0.07536643159039248	1	60	0.07536643159039248	0.01866832607342874
1_0403_9687	K01034	b2a61052fb2c0aa8e165a0e890d8d0eb	9	0.01130496473855887	1	9	0.01130496473855887	0.00280024891101431
1_0403_9687	K01034	b853b65b357cb62031c76bec19d71b1e	55	0.06908589562452644	1	55	0.06908589562452644	0.01711263223397635
1_0403_9687	K01034	c6f55e9d793c7f85f694481b12c59cc3	183	0.22986761635069705	1	183	0.22986761635069705	0.05693839452395768
1_0403_9687	K01034	e23e4f0b8fa765d71339a609c9949645	49	0.06154925246548719	1	49	0.06154925246548719	0.01524579962663347
1_0403_9687	K01034	e2bebd0eb850939e3ab5c3627bc5f261	274	0.344173370929459	1	274	0.344173370929459	0.08525202240199128
1_0403_9687	K01034	e35528f6aaa72ec05c0d6b5fe8897d8c	66	0.08290307474943173	1	66	0.08290307474943173	0.02053515868077162
1_0403_9687	K01034	f76e07facaf8c4f86c0364fe5b3f1d76	49	0.06154925246548719	1	49	0.06154925246548719	0.01524579962663347
1_0403_9687	K01034	fd203e2f7d89f10e908a686f50ec9b37	126	0.1582695063398242	1	126	0.1582695063398242	0.03920348475420037
1_0403_9687	K01034	fd8c12594985d22c708e086d138c7439	53	0.06657368123818003	1	53	0.06657368123818003	0.01649035469819539
1_0403_9687	K01034	fec4aeb6c017aab9e713085b01f50147	28	0.03517100140884982	1	28	0.03517100140884982	0.00871188550093341
1_0403_9687	K15873	a82b21ad406b3c786a748deafb94ad1d	50	0.0628053596586604	1	50	0.0628053596586604	0.29411764705882354
1_0403_9687	K15873	afa948719de108054c53424f996b0a60	75.5	0.0948360930845772	1	75.5	0.0948360930845772	0.4441176470588235
1_0403_9687	K15873	c105dd10cc034de47bb10bd567501178	44.5	0.05589677009620776	1	44.5	0.05589677009620776	0.26176470588235295
1_0403_9688	K00929	078d1e0322d964e9ce0945b108d2525e	45	0.06009806401432097	1	45	0.06009806401432097	0.00686813186813186
1_0403_9688	K00929	1ea43c607013c6b4df5964bfd08807be	50	0.06677562668257886	1	50	0.06677562668257886	0.00763125763125763
