"mouse_id","day","weight","study","diet"
222,13,18,"Study 10","chow"
222,14,19.2,"Study 10","chow"
222,15,18.6,"Study 10","chow"
222,16,NA,"Study 10","chow"
222,17,16.3,"Study 10","chow"
222,18,14.8,"Study 10","chow"
222,19,15.7,"Study 10","chow"
222,20,16.3,"Study 10","chow"
222,21,17.2,"Study 10","chow"
222,22,18.6,"Study 10","chow"
222,25,18.7,"Study 10","chow"
222,28,19.7,"Study 10","chow"
223,0,16,"Study 10","chow"
223,8,16.6,"Study 10","chow"
223,13,16.8,"Study 10","chow"
223,14,17.4,"Study 10","chow"
223,15,16.8,"Study 10","chow"
223,16,NA,"Study 10","chow"
223,17,14.7,"Study 10","chow"
223,18,NA,"Study 10","chow"
223,19,NA,"Study 10","chow"
223,20,NA,"Study 10","chow"
223,21,NA,"Study 10","chow"
223,22,NA,"Study 10","chow"
223,25,NA,"Study 10","chow"
223,28,NA,"Study 10","chow"
224,0,17.7,"Study 10","chow"
224,8,18.2,"Study 10","chow"
224,13,18.6,"Study 10","chow"
224,14,19.4,"Study 10","chow"
224,15,19.4,"Study 10","chow"
224,16,NA,"Study 10","chow"
224,17,16.6,"Study 10","chow"
224,18,16.4,"Study 10","chow"
224,19,15.2,"Study 10","chow"
224,20,17.2,"Study 10","chow"
224,21,18,"Study 10","chow"
224,22,19.1,"Study 10","chow"
224,25,18.2,"Study 10","chow"
224,28,18.4,"Study 10","chow"
225,0,18.5,"Study 10","HF/LF"
225,8,19.1,"Study 10","HF/LF"
225,13,18.5,"Study 10","HF/LF"
225,14,20.3,"Study 10","HF/LF"
225,15,20.1,"Study 10","HF/LF"
225,16,NA,"Study 10","HF/LF"
225,17,19.6,"Study 10","HF/LF"
225,18,NA,"Study 10","HF/LF"
225,19,NA,"Study 10","HF/LF"
225,20,NA,"Study 10","HF/LF"
225,21,NA,"Study 10","HF/LF"
225,22,NA,"Study 10","HF/LF"
225,25,NA,"Study 10","HF/LF"
225,28,NA,"Study 10","HF/LF"
226,0,19.6,"Study 10","HF/LF"
226,8,20.1,"Study 10","HF/LF"
226,13,20.2,"Study 10","HF/LF"
226,14,21,"Study 10","HF/LF"
226,15,20,"Study 10","HF/LF"
226,16,NA,"Study 10","HF/LF"
226,17,20.7,"Study 10","HF/LF"
226,18,15.8,"Study 10","HF/LF"
226,19,NA,"Study 10","HF/LF"
226,20,NA,"Study 10","HF/LF"
226,21,NA,"Study 10","HF/LF"
226,22,NA,"Study 10","HF/LF"
226,25,NA,"Study 10","HF/LF"
226,28,NA,"Study 10","HF/LF"
227,0,17.2,"Study 10","HF/LF"
227,8,17.3,"Study 10","HF/LF"
227,13,17.5,"Study 10","HF/LF"
227,14,18.8,"Study 10","HF/LF"
227,15,18.1,"Study 10","HF/LF"
227,16,NA,"Study 10","HF/LF"
227,17,18.5,"Study 10","HF/LF"
227,18,NA,"Study 10","HF/LF"
227,19,NA,"Study 10","HF/LF"
227,20,NA,"Study 10","HF/LF"
227,21,NA,"Study 10","HF/LF"
227,22,NA,"Study 10","HF/LF"
227,25,NA,"Study 10","HF/LF"
227,28,NA,"Study 10","HF/LF"
228,0,18.5,"Study 10","HF/LF"
228,8,18.6,"Study 10","HF/LF"
228,13,19.4,"Study 10","HF/LF"
228,14,20,"Study 10","HF/LF"
228,15,20,"Study 10","HF/LF"
228,16,NA,"Study 10","HF/LF"
228,17,20,"Study 10","HF/LF"
228,18,17.7,"Study 10","HF/LF"
228,19,NA,"Study 10","HF/LF"
228,20,NA,"Study 10","HF/LF"
228,21,NA,"Study 10","HF/LF"
228,22,NA,"Study 10","HF/LF"
228,25,NA,"Study 10","HF/LF"
228,28,NA,"Study 10","HF/LF"
229,0,19.9,"Study 10","HF/HF"
229,8,20.3,"Study 10","HF/HF"
229,13,21.4,"Study 10","HF/HF"
229,14,22.3,"Study 10","HF/HF"
229,15,21.8,"Study 10","HF/HF"
229,16,NA,"Study 10","HF/HF"
229,17,20.1,"Study 10","HF/HF"
229,18,NA,"Study 10","HF/HF"
229,19,NA,"Study 10","HF/HF"
229,20,NA,"Study 10","HF/HF"
229,21,NA,"Study 10","HF/HF"
229,22,NA,"Study 10","HF/HF"
229,25,NA,"Study 10","HF/HF"
229,28,NA,"Study 10","HF/HF"
230,0,17.7,"Study 10","HF/HF"
230,8,18.3,"Study 10","HF/HF"
230,13,19.8,"Study 10","HF/HF"
230,14,20.1,"Study 10","HF/HF"
230,15,19.7,"Study 10","HF/HF"
230,16,NA,"Study 10","HF/HF"
